,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,No._x,Market Cap_x,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Price_y,Change_y,Volume_y,No._x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Price_x,Change_x,Volume_x,No._y,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price_y,Change_y,from Open,Gap,Volume_y
14,2274,EOLS,"Evolus, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,602.35M,-,10.92,-1.89%,409060,2274,602.35M,-,-70.50%,-,-251.10%,0.90,0.90,0.00,0.83,67.40%,-,-,May 12/a,10.92,-1.89%,409060,2274,602.35M,-,-,-,10.33,17.33,27.13,-,-51.50%,58.20%,-29.70%,16.50%,-,10.92,-1.89%,409060,2274,602.35M,37.10M,33.58M,15.00%,-0.20%,16.60%,9.81%,11.09%,3.63,1.03M,10.92,-1.89%,409060,2274,0.83%,22.97%,-5.70%,192.76%,114.96%,225.00%,6.38%,6.83%,2.20,1.03M,0.40,10.92,-1.89%,409060,2274,2.32,0.63,13.38%,2.37%,58.96%,-37.17%,283.16%,59.08,10.92,-1.89%,-1.89%,0.00%,409060
15,2275,EOS,Eaton Vance Enhanced Equity Income Fund II,Financial,Closed-End Fund - Equity,USA,1.11B,4.68,22.21,0.86%,101358,2275,1.11B,5.36%,-,-,-,-,-,-,-,-,-,-,-,22.21,0.86%,101358,2275,1.11B,4.68,-,-,167.62,1.05,-,-,-,-,-,-,-,22.21,0.86%,101358,2275,1.11B,49.79M,-,-,-,18.32%,-,-,-,109.96K,22.21,0.86%,101358,2275,-0.13%,-0.89%,3.21%,9.09%,25.98%,2.40%,1.00%,1.19%,-,109.96K,0.92,22.21,0.86%,101358,2275,-,0.26,0.87%,0.05%,6.75%,-3.43%,31.73%,51.47,22.21,0.86%,0.86%,0.00%,101358
16,2276,EOSE,"Eos Energy Enterprises, Inc.",Industrials,Electrical Equipment & Parts,USA,988.00M,-,20.00,4.88%,716011,2276,988.00M,-,-58.10%,-62.70%,-32.00%,4.80,4.80,0.00,0.01,-,-,-,May 12/b,20.00,4.88%,716011,2276,988.00M,-,-,-,2470.00,10.05,9.81,-,84.40%,52.60%,-,-,-,20.00,4.88%,716011,2276,988.00M,51.13M,40.64M,21.54%,0.19%,44.40%,24.61%,16.04%,7.58,859.97K,20.00,4.88%,716011,2276,-5.70%,65.02%,13.51%,44.82%,-,-4.03%,13.44%,11.37%,2.00,859.97K,0.83,20.00,4.88%,716011,2276,-,1.70,34.37%,30.74%,26.53%,-37.41%,106.19%,64.64,20.00,4.88%,3.79%,1.05%,716011
17,2277,EOT,Eaton Vance National Municipal Opportunities Trust,Financial,Closed-End Fund - Debt,USA,345.78M,-,22.58,0.51%,25368,2277,345.78M,3.41%,-,-,-,-,-,-,-,-,-,-,-,22.58,0.51%,25368,2277,345.78M,-,-,-,-,-,-,-,-,-,-,-,-,22.58,0.51%,25368,2277,345.78M,15.31M,-,-,-,10.11%,-,-,-,17.20K,22.58,0.51%,25368,2277,-2.38%,1.03%,5.46%,7.68%,17.42%,10.20%,2.26%,1.69%,-,17.20K,1.47,22.58,0.51%,25368,2277,-,0.41,0.01%,0.20%,6.34%,-4.89%,18.72%,49.24,22.58,0.51%,0.04%,0.47%,25368
18,2278,EPAC,Enerpac Tool Group Corp.,Industrials,Specialty Industrial Machinery,USA,1.65B,2479.09,27.27,-0.44%,117203,2278,1.65B,0.15%,0.50%,1.20%,3.10%,2.80,2.20,0.55,0.00,43.30%,3.60%,0.90%,Jun 29/b,27.27,-0.44%,117203,2278,1.65B,2479.09,29.74,203.20,3.63,4.29,14.28,64.08,14.50%,67.95%,-33.30%,12.20%,-17.00%,27.27,-0.44%,117203,2278,1.65B,59.94M,59.69M,1.10%,0.00%,-,-0.57%,2.65%,6.97,226.72K,27.27,-0.44%,117203,2278,-0.44%,-2.75%,10.90%,23.62%,44.06%,20.61%,2.37%,2.52%,3.00,226.72K,0.52,27.27,-0.44%,117203,2278,1.46,0.68,-0.79%,1.63%,18.24%,-5.44%,80.48%,50.43,27.27,-0.44%,-1.09%,0.66%,117203
19,2279,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,USA,26.79B,80.65,482.30,1.54%,240102,2279,26.79B,-,13.40%,18.30%,16.30%,4.30,4.30,0.01,0.01,34.50%,14.30%,12.60%,May 06/b,482.30,1.54%,240102,2279,26.79B,80.65,50.41,3.56,9.61,13.13,19.52,60.46,23.70%,23.43%,28.10%,22.63%,23.80%,482.30,1.54%,240102,2279,26.79B,56.17M,53.45M,2.60%,-12.83%,97.50%,0.60%,1.53%,2.45,332.38K,482.30,1.54%,240102,2279,2.22%,4.56%,34.51%,49.05%,114.94%,34.59%,2.03%,2.39%,2.00,332.38K,0.72,482.30,1.54%,240102,2279,1.36,10.42,3.80%,8.85%,31.28%,-1.70%,117.83%,64.83,482.30,1.54%,0.33%,1.21%,240102
0,2280,EPAY,"Bottomline Technologies (de), Inc.",Technology,Software - Infrastructure,USA,1.66B,-,36.77,0.77%,759084,2280,1.66B,-,-1.50%,-2.80%,-0.90%,1.60,1.60,0.30,0.30,58.10%,-0.70%,-2.60%,May 04/a,36.77,0.77%,759084,2280,1.66B,-,29.63,-,3.60,3.58,11.27,29.05,-197.70%,7.35%,24.80%,40.00%,6.00%,36.77,0.77%,759084,2280,1.66B,45.02M,43.89M,2.70%,-5.20%,93.40%,-0.21%,2.88%,3.91,322.38K,36.77,0.77%,759084,2280,-2.42%,-4.62%,-19.36%,-21.16%,-30.54%,-30.28%,2.49%,2.65%,2.30,322.38K,2.35,36.77,0.77%,759084,2280,1.29,1.20,-2.25%,-14.74%,-19.42%,-33.90%,2.00%,31.56,36.77,0.77%,0.77%,0.00%,759084
1,2281,EPC,Edgewell Personal Care Company,Consumer Defensive,Household & Personal Products,USA,2.45B,42.88,45.20,0.47%,297132,2281,2.45B,1.33%,1.60%,4.00%,2.50%,2.00,1.30,0.84,0.86,45.60%,3.80%,3.00%,May 06/b,45.20,0.47%,297132,2281,2.45B,42.88,14.93,12.05,1.26,1.68,8.67,17.04,118.20%,9.28%,17.70%,3.56%,-4.20%,45.20,0.47%,297132,2281,2.45B,54.30M,54.11M,0.40%,0.00%,98.64%,5.30%,7.98%,5.35,806.31K,45.20,0.47%,297132,2281,0.49%,13.17%,43.04%,29.55%,51.88%,30.71%,2.45%,2.99%,2.80,806.31K,0.37,45.20,0.47%,297132,2281,1.00,1.18,1.88%,10.03%,30.90%,-1.95%,77.25%,62.99,45.20,0.47%,0.36%,0.11%,297132
2,2282,EPD,Enterprise Products Partners L.P.,Energy,Oil & Gas Midstream,USA,52.90B,14.41,24.44,0.95%,4478070,2282,52.90B,7.36%,5.90%,15.00%,9.50%,1.00,0.70,1.09,1.15,30.20%,18.10%,12.90%,May 03/b,24.44,0.95%,4478070,2282,52.90B,14.41,11.36,1.72,1.83,2.13,230.62,-,-17.40%,-0.92%,6.40%,8.40%,0.10%,24.44,0.95%,4478070,2282,52.90B,2.18B,1.47B,0.30%,11.46%,29.90%,-3.57%,2.55%,5.99,6.26M,24.44,0.95%,4478070,2282,3.56%,4.89%,5.53%,21.59%,19.80%,24.76%,1.24%,1.75%,1.70,6.26M,0.72,24.44,0.95%,4478070,2282,1.36,0.42,3.21%,5.34%,19.63%,0.00%,64.03%,65.57,24.44,0.95%,0.58%,0.37%,4478070
3,2283,EPHE,iShares MSCI Philippines ETF,Financial,Exchange Traded Fund,USA,-,-,31.59,0.54%,40792,2283,-,0.76%,-,-,-,-,-,-,-,-,-,-,-,31.59,0.54%,40792,2283,-,-,-,-,-,-,-,-,-,-,-,-,-,31.59,0.54%,40792,2283,-,-,-,-,-,-,-,-,-,90.23K,31.59,0.54%,40792,2283,5.58%,9.65%,2.33%,-2.50%,11.15%,-3.39%,1.25%,1.17%,-,90.23K,0.45,31.59,0.54%,40792,2283,-,0.47,7.78%,7.76%,6.17%,-5.65%,25.13%,73.33,31.59,0.54%,-0.03%,0.57%,40792
4,2284,EPHY,Epiphany Technology Acquisition Corp.,Financial,Shell Companies,USA,398.60M,-,9.71,-0.10%,20608,2284,398.60M,-,-,-,-,-,-,-,-,-,-,-,-,9.71,-0.10%,20608,2284,398.60M,-,-,-,-,-,-,-,-,-,-,-,-,9.71,-0.10%,20608,2284,398.60M,41.05M,-,-,-,-,-,-,0.25,91.68K,9.71,-0.10%,20608,2284,0.10%,-0.82%,-2.41%,-,-,-2.90%,0.60%,0.75%,-,91.68K,0.22,9.71,-0.10%,20608,2284,-,0.07,-0.22%,-0.56%,-0.83%,-19.08%,1.36%,45.99,9.71,-0.10%,0.21%,-0.31%,20608
5,2285,EPHYU,Epiphany Technology Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.99,-0.15%,13181,2285,-,-,-,-,-,-,-,-,-,-,-,-,-,9.99,-0.15%,13181,2285,-,-,-,-,-,-,-,-,-,-,-,-,-,9.99,-0.15%,13181,2285,-,-,-,1.10%,-,11.58%,-,-,0.00,80.02K,9.99,-0.15%,13181,2285,-0.40%,-0.60%,-2.06%,-,-,-5.22%,0.55%,0.61%,-,80.02K,0.16,9.99,-0.15%,13181,2285,-,0.07,-0.18%,-0.34%,-3.01%,-12.14%,2.25%,46.86,9.99,-0.15%,-0.10%,-0.05%,13181
6,2286,EPI,WisdomTree India Earnings Fund,Financial,Exchange Traded Fund,USA,-,-,34.71,1.43%,352243,2286,-,0.81%,-,-,-,-,-,-,-,-,-,-,-,34.71,1.43%,352243,2286,-,-,-,-,-,-,-,-,-,-,-,-,-,34.71,1.43%,352243,2286,-,-,-,-,-,-,-,-,-,801.61K,34.71,1.43%,352243,2286,2.97%,9.84%,8.67%,27.05%,78.46%,18.83%,0.53%,0.78%,-,801.61K,0.44,34.71,1.43%,352243,2286,-,0.36,5.18%,9.20%,21.90%,1.14%,88.33%,76.43,34.71,1.43%,0.03%,1.40%,352243
7,2287,EPIX,ESSA Pharma Inc.,Healthcare,Biotechnology,Canada,1.23B,-,31.87,4.66%,213997,2287,1.23B,-,-,-,-,65.80,65.80,0.00,0.00,-,-,-,May 06/a,31.87,4.66%,213997,2287,1.23B,-,-,-,-,5.66,5.90,-,30.90%,-,39.20%,-,-,31.87,4.66%,213997,2287,1.23B,36.48M,20.90M,2.40%,6.55%,76.40%,35.43%,0.81%,0.71,239.46K,31.87,4.66%,213997,2287,-2.54%,5.29%,17.78%,401.10%,517.64%,167.14%,7.19%,6.56%,-,239.46K,0.89,31.87,4.66%,213997,2287,1.65,2.00,2.88%,8.13%,88.29%,-11.47%,630.96%,54.43,31.87,4.66%,4.49%,0.16%,213997
8,2288,EPM,Evolution Petroleum Corporation,Energy,Oil & Gas E&P,USA,135.39M,-,4.40,8.91%,389576,2288,135.39M,2.73%,-27.60%,-33.90%,7.90%,5.90,5.90,0.00,0.00,49.50%,-,-93.90%,-,4.40,8.91%,389576,2288,135.39M,-,20.00,-,6.04,2.75,7.96,-,-61.20%,633.33%,6.50%,-,1.20%,4.40,8.91%,389576,2288,135.39M,33.50M,30.32M,8.40%,0.00%,73.60%,0.89%,2.82%,4.73,180.72K,4.40,8.91%,389576,2288,21.21%,22.56%,3.53%,52.25%,59.42%,54.39%,4.48%,4.96%,2.50,180.72K,2.16,4.40,8.91%,389576,2288,1.52,0.19,17.93%,26.67%,45.20%,-5.98%,110.53%,72.89,4.40,8.91%,7.06%,1.73%,389576
9,2289,EPOL,iShares MSCI Poland ETF,Financial,Exchange Traded Fund,USA,-,-,22.86,1.06%,217251,2289,-,1.44%,-,-,-,-,-,-,-,-,-,-,-,22.86,1.06%,217251,2289,-,-,-,-,-,-,-,-,-,-,-,-,-,22.86,1.06%,217251,2289,-,-,-,-,-,-,-,-,-,167.04K,22.86,1.06%,217251,2289,3.35%,14.41%,23.43%,23.77%,31.83%,20.19%,1.31%,1.41%,-,167.04K,1.30,22.86,1.06%,217251,2289,-,0.36,6.65%,13.89%,23.47%,-0.13%,66.62%,73.38,22.86,1.06%,-0.09%,1.15%,217251
10,2290,EPP,iShares MSCI Pacific ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,53.97,1.20%,173155,2290,-,2.19%,-,-,-,-,-,-,-,-,-,-,-,53.97,1.20%,173155,2290,-,-,-,-,-,-,-,-,-,-,-,-,-,53.97,1.20%,173155,2290,-,-,-,-,-,-,-,-,-,382.95K,53.97,1.20%,173155,2290,0.99%,2.78%,6.70%,15.54%,33.19%,12.74%,0.39%,0.70%,-,382.95K,0.45,53.97,1.20%,173155,2290,-,0.50,2.05%,3.57%,13.57%,0.11%,40.44%,62.80,53.97,1.20%,0.33%,0.86%,173155
11,2291,EPR,EPR Properties,Real Estate,REIT - Retail,USA,3.95B,-,52.12,-1.29%,423066,2291,3.95B,-,-2.80%,-7.10%,-0.30%,-,-,1.20,1.20,90.10%,-8.00%,-50.50%,May 05/a,52.12,-1.29%,423066,2291,3.95B,-,36.40,-,10.52,1.48,7.34,-,-220.70%,1054.84%,-22.00%,7.00%,-0.30%,52.12,-1.29%,423066,2291,3.95B,74.63M,73.68M,1.00%,0.38%,86.00%,-4.88%,4.04%,4.53,657.94K,52.12,-1.29%,423066,2291,7.24%,9.80%,14.30%,39.43%,28.09%,60.37%,4.26%,3.34%,3.10,657.94K,0.64,52.12,-1.29%,423066,2291,1.85,1.67,6.72%,8.43%,38.29%,-7.04%,152.76%,61.13,52.12,-1.29%,-1.96%,0.68%,423066
12,2292,EPRF,Innovator S&P Investment Grade Preferred ETF,Financial,Exchange Traded Fund,USA,-,-,24.42,0.10%,31989,2292,-,5.16%,-,-,-,-,-,-,-,-,-,-,-,24.42,0.10%,31989,2292,-,-,-,-,-,-,-,-,-,-,-,-,-,24.42,0.10%,31989,2292,-,-,-,-,-,-,-,-,-,52.04K,24.42,0.10%,31989,2292,0.97%,0.58%,2.45%,-0.14%,3.06%,-1.29%,0.39%,0.51%,-,52.04K,0.61,24.42,0.10%,31989,2292,-,0.12,0.72%,0.46%,0.45%,-2.84%,5.39%,60.01,24.42,0.10%,0.39%,-0.29%,31989
13,2293,EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,REIT - Diversified,USA,3.18B,62.71,27.28,0.81%,905903,2293,3.18B,3.52%,1.80%,2.80%,3.00%,-,-,0.57,0.57,97.10%,47.50%,25.30%,May 03/a,27.28,0.81%,905903,2293,3.18B,62.71,42.96,1.82,18.58,1.77,74.29,-,-30.60%,7.81%,-,34.51%,-,27.28,0.81%,905903,2293,3.18B,117.50M,108.39M,0.90%,-0.06%,98.80%,3.66%,4.42%,4.64,1.03M,27.28,0.81%,905903,2293,7.49%,8.25%,19.18%,32.11%,50.55%,28.68%,2.20%,2.39%,1.90,1.03M,0.88,27.28,0.81%,905903,2293,-,0.61,8.04%,9.34%,27.25%,0.48%,99.85%,68.33,27.28,0.81%,0.00%,0.81%,905903
14,2294,EPS,WisdomTree U.S. Earnings 500 Fund,Financial,Exchange Traded Fund,USA,-,-,46.27,0.74%,26434,2294,-,1.71%,-,-,-,-,-,-,-,-,-,-,-,46.27,0.74%,26434,2294,-,-,-,-,-,-,-,-,-,-,-,-,-,46.27,0.74%,26434,2294,-,-,-,-,-,-,-,-,-,40.09K,46.27,0.74%,26434,2294,0.81%,1.76%,10.71%,17.11%,35.81%,15.21%,0.53%,0.82%,-,40.09K,0.66,46.27,0.74%,26434,2294,-,0.39,1.26%,2.80%,14.63%,-0.45%,43.87%,63.24,46.27,0.74%,0.28%,0.46%,26434
15,2295,EPSN,Epsilon Energy Ltd.,Energy,Oil & Gas E&P,USA,98.49M,29.57,4.14,0.00%,11835,2295,98.49M,-,3.70%,4.70%,-2.30%,4.60,4.60,0.00,0.00,69.30%,13.20%,12.50%,-,4.14,0.00%,11835,2295,98.49M,29.57,-,-,3.73,1.39,5.50,6.65,-89.10%,-,15.20%,-,0.50%,4.14,0.00%,11835,2295,98.49M,23.95M,23.23M,10.40%,15.29%,70.20%,4.33%,0.03%,0.24,32.82K,4.14,0.00%,11835,2295,4.02%,5.08%,6.15%,24.32%,38.93%,11.59%,3.52%,2.81%,-,32.82K,0.36,4.14,0.00%,11835,2295,0.48,0.11,2.92%,5.00%,15.91%,-6.76%,45.26%,62.81,4.14,0.00%,0.24%,-0.24%,11835
16,2296,EPU,iShares MSCI Peru ETF,Financial,Exchange Traded Fund,USA,-,-,34.72,4.48%,79333,2296,-,1.79%,-,-,-,-,-,-,-,-,-,-,-,34.72,4.48%,79333,2296,-,-,-,-,-,-,-,-,-,-,-,-,-,34.72,4.48%,79333,2296,-,-,-,-,-,-,-,-,-,82.14K,34.72,4.48%,79333,2296,9.67%,8.98%,-3.58%,1.86%,20.06%,0.12%,3.11%,2.24%,-,82.14K,0.97,34.72,4.48%,79333,2296,-,0.78,3.79%,3.14%,4.26%,-11.11%,23.87%,59.86,34.72,4.48%,4.01%,0.45%,79333
17,2297,EPV,ProShares UltraShort FTSE Europe,Financial,Exchange Traded Fund,USA,-,-,11.70,-1.56%,23448,2297,-,-,-,-,-,-,-,-,-,-,-,-,-,11.70,-1.56%,23448,2297,-,-,-,-,-,-,-,-,-,-,-,-,-,11.70,-1.56%,23448,2297,-,-,-,-,-,-,-,-,-,10.16K,11.70,-1.56%,23448,2297,-2.35%,-8.89%,-23.44%,-31.97%,-53.17%,-27.88%,0.67%,1.23%,-,10.16K,2.31,11.70,-1.56%,23448,2297,-,0.23,-4.55%,-10.07%,-31.18%,-57.53%,0.27%,34.94,11.70,-1.56%,-0.02%,-1.54%,23448
18,2298,EPWR,Empowerment & Inclusion Capital I Corp.,Financial,Shell Companies,USA,336.03M,-,9.74,-0.10%,53,2298,336.03M,-,-,-,-,9.40,9.40,-,-,-,-,-,-,9.74,-0.10%,53,2298,336.03M,-,-,-,-,-,3360.30,-,-,-,-,-,-,9.74,-0.10%,53,2298,336.03M,34.50M,20.70M,-,-,46.10%,399.28%,0.07%,0.23,60.10K,9.74,-0.10%,53,2298,0.21%,0.31%,-,-,-,-2.01%,0.51%,0.53%,-,60.10K,0.00,9.74,-0.10%,53,2298,-,0.07,0.13%,0.02%,-0.15%,-5.89%,2.53%,49.75,9.74,-0.10%,0.00%,-0.10%,53
19,2299,EPZM,"Epizyme, Inc.",Healthcare,Biotechnology,USA,877.97M,-,8.24,-4.30%,481093,2299,877.97M,-,-59.40%,-143.20%,-59.60%,8.70,8.30,2.65,2.65,66.80%,-,-,May 06/b,8.24,-4.30%,481093,2299,877.97M,-,-,-,39.91,9.69,2.94,-,-19.10%,19.20%,7.10%,38.00%,43.80%,8.24,-4.30%,481093,2299,877.97M,101.79M,79.08M,1.00%,2.66%,99.20%,0.41%,16.80%,10.87,1.22M,8.24,-4.30%,481093,2299,-1.44%,9.57%,-13.35%,-38.42%,-51.84%,-24.13%,4.88%,5.61%,1.90,1.22M,0.39,8.24,-4.30%,481093,2299,1.25,0.43,-2.44%,-0.11%,-24.18%,-62.55%,22.99%,47.38,8.24,-4.30%,-4.52%,0.23%,481093
0,2300,EQ,"Equillium, Inc.",Healthcare,Biotechnology,USA,195.43M,-,6.93,2.97%,199499,2300,195.43M,-,-37.70%,-45.70%,-,14.40,14.40,0.08,0.11,-,-,-,May 13/a,6.93,2.97%,199499,2300,195.43M,-,-,-,-,2.06,1.88,-,0.60%,-14.90%,-,-,-,6.93,2.97%,199499,2300,195.43M,27.32M,13.67M,3.80%,-3.42%,29.90%,11.53%,7.34%,5.93,169.10K,6.93,2.97%,199499,2300,2.21%,16.67%,2.67%,37.50%,127.96%,29.53%,6.17%,6.74%,1.40,169.10K,1.18,6.93,2.97%,199499,2300,-,0.42,13.49%,8.54%,12.14%,-74.38%,173.91%,60.23,6.93,2.97%,2.36%,0.59%,199499
1,2301,EQAL,Invesco Russell 1000 Equal Weight ETF,Financial,Exchange Traded Fund,USA,-,-,46.17,0.46%,36937,2301,-,1.56%,-,-,-,-,-,-,-,-,-,-,-,46.17,0.46%,36937,2301,-,-,-,-,-,-,-,-,-,-,-,-,-,46.17,0.46%,36937,2301,-,-,-,-,-,-,-,-,-,84.05K,46.17,0.46%,36937,2301,1.41%,2.87%,9.82%,22.56%,44.01%,18.41%,0.50%,0.92%,-,84.05K,0.44,46.17,0.46%,36937,2301,-,0.42,2.15%,3.82%,18.15%,0.20%,55.77%,65.02,46.17,0.46%,0.02%,0.44%,36937
2,2302,EQBK,"Equity Bancshares, Inc.",Financial,Banks - Regional,USA,473.04M,-,32.85,-0.48%,22030,2302,473.04M,-,-1.50%,-14.50%,21.80%,-,-,0.22,0.22,-,82.00%,-40.50%,Apr 20/a,32.85,-0.48%,22030,2302,473.04M,-,12.97,-,3.14,1.19,3.11,9.75,-407.50%,-7.62%,-39.20%,10.00%,24.00%,32.85,-0.48%,22030,2302,473.04M,14.46M,12.77M,4.40%,-3.36%,67.30%,0.40%,1.34%,5.07,33.81K,32.85,-0.48%,22030,2302,1.33%,8.24%,14.22%,62.14%,86.44%,52.15%,2.21%,2.63%,2.20,33.81K,0.65,32.85,-0.48%,22030,2302,0.77,0.83,4.25%,9.90%,42.45%,-2.76%,138.91%,65.10,32.85,-0.48%,-0.33%,-0.15%,22030
3,2303,EQC,Equity Commonwealth,Real Estate,REIT - Office,USA,3.39B,409.56,27.85,0.29%,836272,2303,3.39B,-,0.20%,0.30%,-0.50%,-,-,0.00,0.00,57.10%,-33.90%,13.70%,May 04/a,27.85,0.29%,836272,2303,3.39B,409.56,-,-,54.35,1.09,1.14,-,-8.80%,41.70%,44.50%,-2.00%,-37.90%,27.85,0.29%,836272,2303,3.39B,122.00M,119.10M,0.70%,0.00%,96.80%,0.73%,2.88%,3.08,1.11M,27.85,0.29%,836272,2303,1.68%,0.69%,-3.00%,6.10%,-5.32%,2.09%,1.11%,1.40%,3.00,1.11M,0.75,27.85,0.29%,836272,2303,0.19,0.40,1.53%,-0.59%,1.33%,-7.68%,8.30%,52.24,27.85,0.29%,0.40%,-0.11%,836272
4,2304,EQH,"Equitable Holdings, Inc.",Financial,Insurance - Diversified,USA,13.64B,-,31.38,-1.48%,2280205,2304,13.64B,2.17%,-,-,5.70%,-,-,0.56,1.59,58.60%,-,-,May 05/a,31.38,-1.48%,2280205,2304,13.64B,-,5.09,-,0.93,1.49,2.01,-,56.40%,12.02%,-35.80%,5.32%,4.30%,31.38,-1.48%,2280205,2304,13.64B,434.20M,426.58M,0.30%,-17.12%,99.58%,1.54%,4.75%,6.07,3.34M,31.38,-1.48%,2280205,2304,-1.97%,-10.62%,2.28%,18.06%,43.88%,22.63%,1.98%,2.63%,2.00,3.34M,0.68,31.38,-1.48%,2280205,2304,-,0.79,-4.96%,-5.57%,17.48%,-11.51%,81.07%,36.97,31.38,-1.48%,-1.81%,0.35%,2280205
5,2305,EQIX,"Equinix, Inc. (REIT)",Real Estate,REIT - Specialty,USA,69.61B,171.90,785.39,1.07%,570709,2305,69.61B,1.46%,1.50%,3.90%,3.30%,1.60,1.60,1.21,1.25,48.80%,15.40%,6.60%,Apr 28/a,785.39,1.07%,570709,2305,69.61B,171.90,86.93,4.60,11.32,6.63,39.61,-,-30.20%,25.26%,5.40%,37.40%,17.10%,785.39,1.07%,570709,2305,69.61B,89.33M,89.23M,0.10%,-39.74%,94.70%,-0.13%,0.96%,1.79,479.83K,785.39,1.07%,570709,2305,6.84%,13.33%,28.63%,13.72%,18.07%,9.97%,2.07%,1.96%,1.80,479.83K,1.19,785.39,1.07%,570709,2305,0.28,15.20,8.09%,10.59%,8.57%,-6.48%,33.86%,78.52,785.39,1.07%,0.89%,0.19%,570709
6,2306,EQL,ALPS Equal Sector Weight ETF,Financial,Exchange Traded Fund,USA,-,-,100.87,0.59%,4281,2306,-,2.22%,-,-,-,-,-,-,-,-,-,-,-,100.87,0.59%,4281,2306,-,-,-,-,-,-,-,-,-,-,-,-,-,100.87,0.59%,4281,2306,-,-,-,-,-,-,-,-,-,9.17K,100.87,0.59%,4281,2306,1.32%,2.43%,11.01%,18.26%,34.69%,16.96%,0.35%,0.66%,-,9.17K,0.47,100.87,0.59%,4281,2306,-,0.77,1.69%,3.55%,15.34%,0.18%,42.93%,65.37,100.87,0.59%,0.02%,0.56%,4281
7,2307,EQNR,Equinor ASA,Energy,Oil & Gas Integrated,Norway,74.18B,-,23.12,1.00%,1333341,2307,74.18B,2.08%,-2.50%,-8.50%,-6.50%,1.70,1.60,0.87,0.98,55.70%,3.70%,-6.30%,-,23.12,1.00%,1333341,2307,74.18B,-,12.04,-,1.58,2.10,3.73,61.31,-404.90%,-16.63%,-0.60%,5.80%,-4.60%,23.12,1.00%,1333341,2307,74.18B,3.25B,3.23B,67.30%,0.00%,5.40%,-10.63%,0.22%,2.82,2.47M,23.12,1.00%,1333341,2307,7.09%,10.20%,13.72%,43.51%,45.96%,40.80%,1.60%,1.88%,2.00,2.47M,0.54,23.12,1.00%,1333341,2307,1.24,0.48,6.62%,12.41%,31.43%,0.39%,90.92%,69.60,23.12,1.00%,0.43%,0.57%,1333341
8,2308,EQOS,Diginex Limited,Financial,Capital Markets,Hong Kong,244.80M,-,6.56,8.07%,358172,2308,244.80M,-,-,-,-514.40%,1.30,1.30,0.01,0.06,-,-,-,-,6.56,8.07%,358172,2308,244.80M,-,-,-,816.01,7.13,8.87,-,-41.50%,-,-,-,-,6.56,8.07%,358172,2308,244.80M,37.32M,26.89M,15.33%,0.00%,12.00%,271.60%,3.79%,0.96,1.06M,6.56,8.07%,358172,2308,3.96%,7.54%,-44.31%,-27.43%,-35.87%,-59.36%,7.98%,7.96%,2.00,1.06M,0.34,6.56,8.07%,358172,2308,-,0.48,15.68%,-12.29%,-36.46%,-71.42%,30.94%,52.80,6.56,8.07%,8.07%,0.00%,358172
9,2309,EQR,Equity Residential,Real Estate,REIT - Residential,USA,29.74B,43.87,78.88,-0.79%,2763523,2309,29.74B,3.06%,3.20%,6.30%,7.10%,-,-,0.74,0.78,62.90%,41.50%,26.50%,Apr 27/a,78.88,-0.79%,2763523,2309,29.74B,43.87,72.37,7.19,11.96,2.86,837.66,94.13,-5.70%,17.71%,0.80%,6.10%,-1.30%,78.88,-0.79%,2763523,2309,29.74B,372.28M,367.89M,0.20%,-36.14%,94.40%,0.24%,2.13%,3.37,2.32M,78.88,-0.79%,2763523,2309,2.86%,9.66%,14.55%,30.68%,27.93%,33.06%,1.32%,1.67%,2.80,2.32M,1.19,78.88,-0.79%,2763523,2309,0.78,1.25,4.52%,6.79%,25.01%,-1.50%,73.65%,66.66,78.88,-0.79%,-0.97%,0.18%,2763523
